s d ratio, s/d ratio
lv systolic dysfunction,left ventricular ejection fraction
lv systolic function,left ventricular ejection fraction
lv systolic function ef,left ventricular ejection fraction
lvef,left ventricular ejection fraction
maintained ef,left ventricular ejection fraction
overall ef,left ventricular ejection fraction
overall ejection fraction,left ventricular ejection fraction
overall estimated ejection fraction,left ventricular ejection fraction
overall left ventricular ejection fraction,left ventricular ejection fraction
overall lv function,left ventricular ejection fraction
overall lvef,left ventricular ejection fraction
overall preserved left ventricular systolic funcciton,left ventricular ejection fraction
preserved ejection fraction,left ventricular ejection fraction
preserved left ventricular ejection fraction,left ventricular ejection fraction
qualitative ef,left ventricular ejection fraction
recovered ef,left ventricular ejection fraction
resting ef,left ventricular ejection fraction
resting ejection fraction,left ventricular ejection fraction
resting left ventricular ejection fraction,left ventricular ejection fraction
resting lv ef,left ventricular ejection fraction
stress left venticular ejection fraction,left ventricular ejection fraction
stress left ventricular ejection fraction,left ventricular ejection fraction
systolic dysfunction,left ventricular ejection fraction
systolic function,left ventricular ejection fraction
systolic function lvef,left ventricular ejection fraction
ventricular ejection fraction,left ventricular ejection fraction
visual ef,left ventricular ejection fraction
visually estimated ef,left ventricular ejection fraction
visually estimated ejection fraction,left ventricular ejection fraction
visually estimated left ventricular ejection fraction,left ventricular ejection fraction
left ventricular end diastolic pressure,left ventricular end diastolic pressure
left ventricular hypertension,left ventricular end diastolic pressure
lv pressure,left ventricular end diastolic pressure
lv pressures,left ventricular end diastolic pressure
left ventricular hypertrophy,left ventricular hypertrophy
lvh,left ventricular hypertrophy
posterior wall hypertrophy,left ventricular hypertrophy
lvld ap4,left ventricular length at end diastole apical
lvls ap4,left ventricular length at end systole apical
lv mass c d,left ventricular mass
lvot,left ventricular outflow tract
lvot area,left ventricular outflow tract area
lvot diam,left ventricular outflow tract diameter
lvot pg,left ventricular outflow tract pressure gradient
pw thickness d,left ventricular posterior wall thickness at end diastole
lv posterior wall,left ventricular posterior wall thickness at end diastole
lvpwt ed,left ventricular posterior wall thickness at end diastole
lvpw diastolic thickness,left ventricular posterior wall thickness at end diastole
left ventricular posterior thickness diastolic,left ventricular posterior wall thickness at end diastole
left ventricular posterior thickness diastolic,left ventricular posterior wall thickness at end diastole
left ventricular posterior wall in diastole,left ventricular posterior wall thickness at end diastole
left ventricular posterior wall thickness during diastole,left ventricular posterior wall thickness at end diastole
left ventricular posterior wall thickness in diastole,left ventricular posterior wall thickness at end diastole
left ventricular thickness,left ventricular posterior wall thickness at end diastole
left ventricular wall thickening,left ventricular posterior wall thickness at end diastole
left ventricular wall thicknes,left ventricular posterior wall thickness at end diastole
left ventricular wall thickness,left ventricular posterior wall thickness at end diastole
lv post wall,left ventricular posterior wall thickness at end diastole
lv posterior wall diastole,left ventricular posterior wall thickness at end diastole
lv posterior wall thickness,left ventricular posterior wall thickness at end diastole
lvpd,left ventricular posterior wall thickness at end diastole
lvpw,left ventricular posterior wall thickness at end diastole
lvpw dias t,left ventricular posterior wall thickness at end diastole
lvpw diastole,left ventricular posterior wall thickness at end diastole
lvpw diastolic thickness,left ventricular posterior wall thickness at end diastole
lvpw diastolic thickness cm,left ventricular posterior wall thickness at end diastole
lvpw ed,left ventricular posterior wall thickness at end diastole
lvpw thickness,left ventricular posterior wall thickness at end diastole
lvpw thickness ed,left ventricular posterior wall thickness at end diastole
lvpwd,left ventricular posterior wall thickness at end diastole
lvpwd 2d,left ventricular posterior wall thickness at end diastole
lvpwd mm,left ventricular posterior wall thickness at end diastole
lvpwd thickness,left ventricular posterior wall thickness at end diastole
post lv wall,left ventricular posterior wall thickness at end diastole
post wall,left ventricular posterior wall thickness at end diastole
posterior left ventricular wall thickness,left ventricular posterior wall thickness at end diastole
posterior wall,left ventricular posterior wall thickness at end diastole
posterior wall diastole,left ventricular posterior wall thickness at end diastole
posterior wall diastolic,left ventricular posterior wall thickness at end diastole
posterior wall thick,left ventricular posterior wall thickness at end diastole
posterior wall thickness,left ventricular posterior wall thickness at end diastole
posterior wall thickness diastole,left ventricular posterior wall thickness at end diastole
posterior wall/diastole,left ventricular posterior wall thickness at end diastole
pwd,left ventricular posterior wall thickness at end diastole
pwt,left ventricular posterior wall thickness at end diastole
wall thickness,left ventricular posterior wall thickness at end diastole
left ventricular posterior wall in systole,left ventricular posterior wall thickness at end systole
lvpws,left ventricular posterior wall thickness at end systole
dilated lv,left ventricular size
lv dilatation,left ventricular size
left chamber size,left ventricular size
left ventricle is normal in size,left ventricular size
left ventricle is normal size,left ventricular size
left ventricular cavity enlargement,left ventricular size
left ventricular cavity size,left ventricular size
left ventricular chamber size,left ventricular size
left ventricular dilatation,left ventricular size
left ventricular enlargement,left ventricular size
left ventricular size,left ventricular size
lv cavity,left ventricular size
overall lv size,left ventricular size
lvedv,left ventricular volume at end diastole
lvedvi ml/m2,left ventricular volume at end diastole
lvesv,left ventricular volume at end systole
left ventricular wall motion,left ventricular wall motion
lv wall motion,left ventricular wall motion
overall left ventricular wall motion,left ventricular wall motion
lung heart ratio,lung to heart ratio
lung to heart ratio,lung to heart ratio
lv segmental wall motion abnormalities,lv segmental wall motion abnormalities
dt,mitral valve deceleration time
mv dt,mitral valve deceleration time
mitral valve function,mitral valve function
mitral valve leaflets,mitral valve leaflets
mitral valve mean gradient,mitral valve mean gradient
mv gradient,mitral valve mean gradient
mv mean gradient,mitral valve mean gradient
mr max pg,mitral valve mean gradient
mitral max grad,mitral valve mean gradient
mitral orifice,mitral valve orifice area
mitral valve orifice area,mitral valve orifice area
mitral valve area,mitral valve orifice area
mva,mitral valve orifice area
mva p1 2t,mitral valve orifice area
mitral valve area dopp,mitral valve orifice area
mi,mitral valve regurgitation
mr severity,mitral valve regurgitation
mitral insufficiency,mitral valve regurgitation
mitral regurgitation,mitral valve regurgitation
mitral valve insufficiency,mitral valve regurgitation
mitral valve regurgitation,mitral valve regurgitation
mr,mitral valve regurgitation
mitral valvular regurgitation,mitral valve regurgitation
mv insufficiency,mitral valve regurgitation
mv regurgitation,mitral valve regurgitation
regurgitation of the mitral valve,mitral valve regurgitation
mitral valve regurgitation mean velocity,mitral valve regurgitation peak velocity
mr max vel,mitral valve regurgitation peak velocity
peak velocity across the mitral valve,mitral valve regurgitation peak velocity
mitral stenosis,mitral valve stenosis
mitral valve stenosis,mitral valve stenosis
mv stenosis,mitral valve stenosis
ddpasp,pulmonary artery pressure
mpap,pulmonary artery pressure
pa pressure,pulmonary artery pressure
mean pa pressure,pulmonary artery pressure
pa pressure by acc time,pulmonary artery pressure
pa pressure by tr,pulmonary artery pressure
pa systolic pressure by tr,pulmonary artery pressure
pa pressures,pulmonary artery pressure
pa pressures systolic,pulmonary artery pressure
pa pulmonary artery,pulmonary artery pressure
pap,pulmonary artery pressure
pap d,pulmonary artery pressure
pap s,pulmonary artery pressure
pap systolic,pulmonary artery pressure
pasp,pulmonary artery pressure
pulmonary arterial hypertension,pulmonary artery pressure
pulmonary artery pressure,pulmonary artery pressure
pulmonary artery systolic pressure,pulmonary artery pressure
pulmonary htn,pulmonary artery pressure
pulmonary hypertension,pulmonary artery pressure
pulmonary systolic pressure,pulmonary artery pressure
pulmonary rate,pulmonary rate
pulmonary insufficiency,pulmonary valve insufficiency
pulmonary valve insufficiency,pulmonary valve insufficiency
pulmonic insufficiency,pulmonary valve insufficiency
pulmonic valvular regurgitation,pulmonary valve insufficiency
pv pg,pulmonary valve pressure gradient
pulmonic valvular stenosis,pulmonary valve stenosis
regional wall motion abnormalities,regional wall motion abnormality
regional wall motion abnormality,regional wall motion abnormality
segmental wall motion abnormalities,regional wall motion abnormality
segmental wall motion abnormality,regional wall motion abnormality
respiratory rate,respiratory rate
ra pressure,right atrial pressure
ra pressure mean,right atrial pressure
ra pressures,right atrial pressure
rap,right atrial pressure
rap systole,right atrial pressure
right atrial pressure,right atrial pressure
right atrial pressures,right atrial pressure
right ventricular dimension diastolic,right ventricular dimension end diastole
rvdd,right ventricular dimension end diastole
right ventricular ejection fraction,right ventricular ejection fraction
rv ejection fraction,right ventricular ejection fraction
right ventricular size,right ventricular size
right ventricular systolic function,right ventricular systolic function
rvsp,right ventricular systolic pressure
tid ratio,transient ischemic dilatation ratio
transient ischemic dilatation ratio,transient ischemic dilatation ratio
transient ischemic dilatation tid ratio,transient ischemic dilatation ratio
tr max pg,tricuspid valve mean gradient
tr mean gradient,tricuspid valve mean gradient
tricuspid mean gradient,tricuspid valve mean gradient
tricuspid valve mean gradient,tricuspid valve mean gradient
tricuspid orifice area,tricuspid valve orifice area
tricuspid valve orifice area,tricuspid valve orifice area
peak tricuspid velocity,tricuspid valve peak velocity
tv peak velocity,tricuspid valve peak velocity
regurgitation of the tricuspid valve,tricuspid valve regurgitation
ti,tricuspid valve regurgitation
tr,tricuspid valve regurgitation
tr severity,tricuspid valve regurgitation
tricuspid insufficiency,tricuspid valve regurgitation
tricuspid regurgitation,tricuspid valve regurgitation
tricuspid regurgitation grade,tricuspid valve regurgitation
tricuspid valve regurgitation,tricuspid valve regurgitation
tricuspid valvular regurgitation,tricuspid valve regurgitation
tv insufficiency,tricuspid valve regurgitation
tv regurgitation,tricuspid valve regurgitation
the maximum velocity of tricuspid regurgitant jet,tricuspid valve regurgitation peak velocity
ti jet velocity,tricuspid valve regurgitation peak velocity
tr jet velocity,tricuspid valve regurgitation peak velocity
tr max vel,tricuspid valve regurgitation peak velocity
tr max velocity,tricuspid valve regurgitation peak velocity
tr peak,tricuspid valve regurgitation peak velocity
tr peak velocity,tricuspid valve regurgitation peak velocity
tr vel,tricuspid valve regurgitation peak velocity
tr velocity,tricuspid valve regurgitation peak velocity
tricuspid insufficiency with peak velocity,tricuspid valve regurgitation peak velocity
tricuspid regurgitant maximum jet velocity,tricuspid valve regurgitation peak velocity
tricuspid regurgitant velocity,tricuspid valve regurgitation peak velocity
tricuspid regurgitant vmax jet velocity,tricuspid valve regurgitation peak velocity
tricuspid regurgitation was noted with a velocity,tricuspid valve regurgitation peak velocity
tricuspid regurgitation with a velocity,tricuspid valve regurgitation peak velocity
tricuspid regurgitation with tricuspid velocity maximum,tricuspid valve regurgitation peak velocity
tricuspid regurgitation with velocity,tricuspid valve regurgitation peak velocity
tricuspid valve regurgitation peak velocity,tricuspid valve regurgitation peak velocity
tricuspid valve velocity,tricuspid valve regurgitation peak velocity
vmax jet velocity,tricuspid valve regurgitation peak velocity
ti jet vel,tricuspid valve regurgitation peak velocity
